Start Date;28.11.2019
Start Time;16:25:02
Store Interval;15;min
Threshold;1.0;Volt
Puls On Time;1000;ms
Puls Off Time;3000;ms

Date;Time;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30
28.11.2019;16:40:02;4;0;4;25;10;21;0;1;2;26;3;14;27;20;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;16:55:02;19;10;21;61;30;51;7;14;15;62;15;38;61;51;335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;17:10:02;35;22;38;95;50;80;17;28;29;98;28;62;95;82;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;17:25:02;50;33;54;129;70;108;27;42;44;133;42;87;129;114;662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;17:40:02;58;37;58;155;82;129;29;47;50;160;48;102;155;137;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;17:55:02;73;48;71;188;101;157;38;60;63;194;61;125;188;168;975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;18:10:02;87;58;83;220;119;183;47;72;76;227;73;148;220;198;1132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;18:25:02;101;68;96;252;137;210;55;84;89;260;85;170;252;229;1288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;18:40:02;114;78;108;284;155;236;63;96;102;294;97;192;283;259;1443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;18:55:02;129;88;121;315;172;262;72;108;116;327;109;214;315;290;1596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;19:10:02;143;99;134;347;190;288;80;120;129;360;120;237;346;321;1748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;19:25:02;157;109;148;379;208;314;89;132;142;393;132;259;378;352;1899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;19:40:02;170;120;162;411;226;340;97;144;156;426;144;281;409;383;2048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;19:55:02;184;130;176;443;244;365;105;156;170;460;156;303;441;415;2197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;20:10:02;198;141;189;475;261;391;113;168;183;494;168;325;472;446;2346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;20:25:02;212;151;203;507;279;416;121;181;197;527;180;347;503;478;2494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;20:40:02;226;162;216;539;296;441;129;193;211;561;191;368;534;509;2641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;20:55:02;240;172;230;571;314;466;137;205;225;595;203;390;565;541;2788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;21:10:02;254;183;244;603;331;492;145;217;239;629;214;412;596;573;2935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;21:25:02;267;193;257;635;348;517;153;229;253;664;226;434;628;605;3081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;21:40:02;281;204;271;668;366;542;161;242;267;699;237;455;659;637;3227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;21:55:02;295;215;284;700;383;567;169;254;281;734;249;477;690;669;3372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;22:10:02;309;225;298;733;400;592;177;266;296;769;260;499;722;701;3516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;22:25:02;323;236;311;766;418;617;185;279;310;805;272;521;753;733;3660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;22:40:02;337;247;325;799;435;641;192;291;325;840;283;542;784;765;3803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;22:55:02;351;258;339;832;452;666;200;304;340;877;295;564;815;798;3946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;23:10:02;365;269;353;866;470;691;208;316;355;913;307;586;847;830;4088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;23:25:02;379;280;366;899;487;716;216;329;370;950;318;608;878;863;4229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2019;23:40:02;393;291;380;933;504;741;224;342;385;987;330;630;910;895;4370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
